HAPLO	b	se	Z	p	FREQ_PROXY_CASE	FREQ_CONTROL	b_adjusted	se_adjusted	p_derived
B_1801	0.039233	0.033118	1.185	0.23616	0.03770981	0.036210865	0.078466	0.066236	0.23615871
B_4402	-0.023445	0.019962	-1.174	0.24022	0.110903799	0.113202049	-0.04689	0.039924	0.240202212
A_2902	0.03542	0.030422	1.164	0.2443	0.044046467	0.042565735	0.07084	0.060844	0.244306912
DRB4_101	0.02572	0.022924	1.122	0.26187	0.084757194	0.08298395	0.05144	0.045848	0.261875943
B_4001	-0.030804	0.027578	-1.117	0.264	0.054453969	0.055723147	-0.061608	0.055156	0.264004031
C_1502	-0.053699	0.049256	-1.09	0.27562	0.016990834	0.017681104	-0.107398	0.098512	0.275624081
DRB5_9901	-0.018861	0.017366	-1.086	0.27744	0.847391952	0.848798015	-0.037722	0.034732	0.277440168
DRB1_103	0.049746	0.048004	1.036	0.30007	0.017551051	0.017132905	0.099492	0.096008	0.300067503
DRB1_1201	0.052884	0.051249	1.032	0.3021	0.015461997	0.014491293	0.105768	0.102498	0.302117532
B_801	-0.018307	0.017908	-1.022	0.30666	0.141808836	0.145107757	-0.036614	0.035816	0.306648138
DQA1_101	0.017712	0.017764	0.997	0.31874	0.144250819	0.14159797	0.035424	0.035528	0.318729208
C_303	0.025693	0.026994	0.952	0.3412	0.057706655	0.056193655	0.051386	0.053988	0.34119634
A_3101	0.03523	0.037949	0.928	0.35323	0.027959792	0.026895326	0.07046	0.075898	0.353225419
B_1401	0.053015	0.05783	0.917	0.35928	0.012028003	0.011602155	0.10603	0.11566	0.359279573
C_304	-0.021219	0.023199	-0.915	0.36038	0.079292854	0.080195412	-0.042438	0.046398	0.360374617
B_702	0.015827	0.017586	0.9	0.36814	0.149470702	0.148105137	0.031654	0.035172	0.368132355
DQA1_102	0.014178	0.015868	0.893	0.37159	0.192539872	0.191193355	0.028356	0.031736	0.371591429
DPA1_201	-0.015532	0.017749	-0.875	0.38153	0.144362526	0.146365165	-0.031064	0.035498	0.381524092
DRB5_101	0.015486	0.017756	0.872	0.38313	0.145134853	0.144230708	0.030972	0.035512	0.383123339
A_101	-0.013556	0.015899	-0.853	0.39386	0.191070232	0.194311887	-0.027112	0.031798	0.393863277
DRB1_301	-0.015013	0.017663	-0.85	0.39533	0.146294227	0.149085765	-0.030026	0.035326	0.395342399
C_102	-0.029554	0.034928	-0.846	0.39749	0.033032921	0.034005324	-0.059108	0.069856	0.397474296
DQB1_201	-0.014758	0.017636	-0.837	0.40271	0.147405748	0.150151761	-0.029516	0.035272	0.402698775
DQB1_603	0.02323	0.02815	0.825	0.40924	0.052806389	0.051329659	0.04646	0.0563	0.409245551
DRB1_1501	0.014253	0.017799	0.801	0.42326	0.145432871	0.144753378	0.028506	0.035598	0.423261727
B_1501	0.020182	0.02573	0.784	0.43281	0.064583802	0.062679001	0.040364	0.05146	0.432819391
DQA1_103	0.021176	0.027209	0.778	0.43642	0.056085563	0.054657042	0.042352	0.054418	0.43640874
DPB1_301	-0.017267	0.022466	-0.769	0.44213	0.101378782	0.102741326	-0.034534	0.044932	0.442140522
DQB1_604	0.028443	0.037541	0.758	0.44866	0.028651267	0.027571895	0.056886	0.075082	0.44865956
B_2705	0.024289	0.032083	0.757	0.449	0.040550623	0.039650361	0.048578	0.064166	0.44900936
DRB3_301	0.024413	0.032393	0.754	0.45106	0.038951367	0.03797525	0.048826	0.064786	0.451059124
DRB3_101	-0.012391	0.016801	-0.738	0.46078	0.16557377	0.167907978	-0.024782	0.033602	0.460808845
B_1302	0.032683	0.044757	0.73	0.46525	0.019935907	0.019229416	0.065366	0.089514	0.465248298
B_1402	-0.028987	0.040445	-0.717	0.47355	0.024394786	0.025424569	-0.057974	0.08089	0.473558181
A_301	-0.012638	0.017809	-0.71	0.47792	0.143309492	0.144797024	-0.025276	0.035618	0.477926668
A_1101	-0.018667	0.026485	-0.705	0.48093	0.059241883	0.060468818	-0.037334	0.05297	0.480925966
DQB1_301	-0.01121	0.016455	-0.681	0.49571	0.17571599	0.17648527	-0.02242	0.03291	0.495712114
C_704	-0.032284	0.048146	-0.671	0.5025	0.017014147	0.017534694	-0.064568	0.096292	0.502511219
C_702	0.011377	0.017118	0.665	0.5063	0.158859015	0.157932337	0.022754	0.034236	0.506292272
C_501	-0.012495	0.019752	-0.633	0.52701	0.112886406	0.114211843	-0.02499	0.039504	0.526998697
DRB1_1302	0.020264	0.032373	0.626	0.5314	0.038868206	0.038056367	0.040528	0.064746	0.531345293
DRB1_1301	0.017443	0.028363	0.615	0.5386	0.051550619	0.050407804	0.034886	0.056726	0.538560425
B_5701	0.01917	0.031974	0.6	0.54879	0.03968254	0.039122192	0.03834	0.063948	0.548806422
DRB1_1101	-0.021443	0.036353	-0.59	0.555284	0.034957149	0.035236448	-0.042886	0.072706	0.555287844
DPA1_103	0.009445	0.016148	0.585	0.55858	0.817322014	0.815818234	0.01889	0.032296	0.558613509
B_5101	-0.018353	0.033803	-0.543	0.58717	0.036608143	0.036837636	-0.036706	0.067606	0.587171131
DPB1_101	-0.01433	0.026548	-0.54	0.58935	0.058862976	0.059568213	-0.02866	0.053096	0.589350825
DQB1_602	0.009428	0.017993	0.524	0.60028	0.14293722	0.142978923	0.018856	0.035986	0.600291374
C_1601	0.015335	0.030051	0.51	0.60984	0.045237918	0.044574467	0.03067	0.060102	0.609841892
DRB1_901	0.02364	0.053961	0.438	0.6613	0.013636364	0.013194995	0.04728	0.107922	0.661318014
DPB1_1701	-0.026338	0.060366	-0.436	0.66262	0.01079994	0.011071343	-0.052676	0.120732	0.662615306
DPB1_501	-0.018409	0.044607	-0.413	0.67984	0.020333681	0.020849917	-0.036818	0.089214	0.679831499
A_3001	-0.022615	0.063019	-0.359	0.71971	0.009865972	0.01005962	-0.04523	0.126038	0.719699805
A_6801	0.012732	0.036258	0.351	0.7255	0.030679192	0.030208433	0.025464	0.072516	0.72547575
DRB3_9901	0.004553	0.013224	0.344	0.7306	0.658768657	0.658574731	0.009106	0.026448	0.730622004
DPB1_401	0.004236	0.012844	0.33	0.74155	0.444117869	0.444185076	0.008472	0.025688	0.741548216
C_1203	-0.011867	0.037814	-0.314	0.75365	0.027963956	0.028195903	-0.023734	0.075628	0.753653525
DPB1_1101	-0.011639	0.039472	-0.295	0.76809	0.025888401	0.026218545	-0.023278	0.078944	0.768095293
DQB1_303	0.007727	0.027931	0.277	0.78204	0.052729575	0.052422177	0.015454	0.055862	0.782051924
DQA1_401	-0.011677	0.045342	-0.258	0.79677	0.019396873	0.019483756	-0.023354	0.090684	0.796768387
A_2402	-0.005718	0.024219	-0.236	0.81334	0.073843284	0.073712799	-0.011436	0.048438	0.813358467
DPB1_201	0.004725	0.020735	0.228	0.81976	0.112514092	0.111713383	0.00945	0.04147	0.819742973
C_602	-0.004949	0.021877	-0.226	0.821	0.089192611	0.089802924	-0.009898	0.043754	0.821030847
C_401	-0.004472	0.022627	-0.198	0.84332	0.082898853	0.082801001	-0.008944	0.045254	0.843326746
B_3501	0.005016	0.029959	0.167	0.86702	0.047437621	0.046935422	0.010032	0.059918	0.867032651
DPB1_1001	0.008155	0.050419	0.162	0.8715	0.016731257	0.016522051	0.01631	0.100838	0.871506997
DPB1_601	0.011041	0.072956	0.151	0.8797	0.012375682	0.01223623	0.022082	0.145912	0.879709258
DPA1_202	0.004873	0.036145	0.135	0.89276	0.031175507	0.030994298	0.009746	0.07229	0.8927557
DQB1_402	-0.00525	0.044704	-0.117	0.90651	0.019961269	0.019911865	-0.0105	0.089408	0.906512057
C_701	0.001242	0.016398	0.076	0.9396	0.17625149	0.176902024	0.002484	0.032796	0.939625201
DRB3_202	0.001326	0.018409	0.072	0.94258	0.135229988	0.133777088	0.002652	0.036818	0.942578045
DQA1_501	-0.001044	0.014962	-0.07	0.9444	0.232485981	0.232561943	-0.002088	0.029924	0.944371339
DQB1_609	-0.004361	0.063154	-0.069	0.94495	0.009980635	0.010267538	-0.008722	0.126308	0.944947094
C_802	0.002283	0.033589	0.068	0.94581	0.035892472	0.036327149	0.004566	0.067178	0.945810566
DRB1_801	0.002728	0.047109	0.058	0.95383	0.018330849	0.018227677	0.005456	0.094218	0.953821707
A_201	-0.0006136	0.0140346	-0.044	0.96513	0.277429467	0.277009363	-0.0012272	0.0280692	0.965127183
DPB1_1301	0.001909	0.052076	0.037	0.97076	0.014899799	0.01489412	0.003818	0.104152	0.970757728
A_3201	0.0006981	0.0341834	0.02	0.98371	0.034820498	0.0348041	0.0013962	0.0683668	0.98370658
